;Код;Направление подготовки (специальности);Вступительные испытания, мин. кол. баллов;Профильные вступительные испытания для поступающих на базе среднего профессиональ-ного или высшего образования, мин. кол. баллов;Форма обучения;Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Стоимость обучения
31;01.03.02;"Прикладная математика  и информатика. Профиль ""Прикладная математика и информационно-коммуникационные технологии""";Вступительные испытания, мин. кол. баллов: математика : 39 математика : 40 информатика и ИКТ (по выбору): 44 физика (по выбору): 39 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;74;45;7;6;6;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
32;09.03.02;"Информационные системы и технологии. Профиль "" Информационные системы и технологии искусственного интеллекта""";Вступительные испытания, мин. кол. баллов: информатика и ИКТ: 44 математика : 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;48;24;4;6;4;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
33;09.03.04;"Программная инженерия. Профиль ""Системное и прикладное программное обеспечение""";Вступительные испытания, мин. кол. баллов: информатика и ИКТ: 44 математика : 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;30;14;2;2;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
34;44.03.05;"Педагогическое образование(с двумя профилями подготовки). Профиль ""Образование в предметных областях (Математика и Информатика)""";Вступительные испытания, мин. кол. баллов: математика : 39 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;20;6;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35;37.03.01;"Психология. Профиль ""Психология""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;очная;10;0;0;0;0;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
36;37.05.02;"Психология служебной деятельности. Профиль ""Психология менеджмента и организационное консультирование""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;21;7;2;1;1;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
37;44.03.01;"Педагогическое образование. Профиль ""Начальное образование""";Вступительные испытания, мин. кол. баллов: русский язык: 40 обществознание: 45 математика (по выбору): 39 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: русский язык: 40 психология: 45 педагогика : 39;очная;30;10;2;6;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38;44.03.02;"Психолого-педагогическое образование. Профиль ""Психология образования""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;очная;22;8;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
39;44.03.02;"Психолого-педагогическое образование. Профиль ""Дошкольное образование""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;очная;22;8;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
40;44.03.03;"Специальное (дефектологическое) образование. Профиль ""Дошкольная дефектология""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;очная;25;10;2;6;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
41;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Художественное образование в области изобразительного искусства и  культурологическое образование""";Вступительные испытания, мин. кол. баллов: творческая работа: рисунок+композиция: 40 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: творческая работа: рисунок+композиция: 40 теория государства и права: 45 русский язык: 40;очная;23;9;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
42;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Технологическое образование и дополнительное образование """;Вступительные испытания, мин. кол. баллов: творческое испытание: собеседование + портфолио: 40 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: творческое испытание: собеседование + портфолио: 40 теория государства и права: 45 русский язык: 40;очная;24;9;2;6;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Начальное образование и образование в предметной области Английский язык""";Вступительные испытания, мин. кол. баллов: русский язык: 40 обществознание: 45 математика (по выбору): 39 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: русский язык: 40 психология: 45 педагогика : 39;очная;25;10;2;6;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44;54.03.01;"Дизайн. Профиль ""Графический дизайн""";Вступительные испытания, мин. кол. баллов: творческая работа: рисунок+композиция: 40 литература: 40 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: творческая работа: рисунок+композиция: 40 русская литература: 40 русский язык: 40;очная;15;0;0;0;0;15;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45;43.03.02;"Туризм. Профиль ""Проектирование и технология организации туристских и экскурсионных услуг""";Вступительные испытания, мин. кол. баллов: обществознание (по выбору): 45 иностранный язык (по выбору): 30 история: 35 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: теория государства и права (по выбору): 45 иностранный язык в профессиональной деятельности (по выбору): 30 история России : 35 русский язык: 40;очная;20;7;1;1;1;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
46;43.03.03;"Гостиничное дело. Профиль ""Гостиничный сервис""";Вступительные испытания, мин. кол. баллов: обществознание (по выбору): 35 иностранный язык (по выбору): 30 история: 35 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: теория государства и права (по выбору): 35 иностранный язык в профессиональной деятельности (по выбору): 30 история России : 35 русский язык: 40;очная;20;10;2;1;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
47;44.03.01;"Педагогическое образование. Профиль ""Образование в предметной области Физическая культура""";Вступительные испытания, мин. кол. баллов: общая физическая подготовка : 40 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;35;11;3;8;3;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
48;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)""";Вступительные испытания, мин. кол. баллов: общая физическая подготовка : 40 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;25;6;2;5;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
