Код;Направление подготовки (специальности);Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Форма обучения;Стоимость обучения
13.03.02;Электроэнергетика и электротехника. Профиль "Электроснабжение", Профиль "Релейная защита и автоматика";46;21;4;7;4;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Физика и Информатика)";15;5;1;3;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
08.03.01;Строительство. Профиль "Промышленное и гражданское строительство", Профиль "Строительство автомобильных дорог", Профиль "Жилищно-коммунальное хозяйство и инженерное обеспечение промышленных предприятий";50;0;0;0;0;50;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.03;Управление персоналом. Профиль "Управление персоналом";20;0;0;0;0;20;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.04;Государственное и муниципальное управление. Профиль "Государственное и муниципальное управление";15;0;0;0;0;15;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
40.03.01;Юриспруденция. Профиль "Юриспруденция";15;0;0;0;0;15;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
21.03.02;Землеустройство и кадастры. Профиль "Землеустройство";10;0;0;0;0;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.08;Водные ресурсы и аквакультура. Профиль "Аквакультура";10;0;0;0;0;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
15.03.02;Технологические машины и оборудование. Профиль "Инжиниринг и маркетинг технологических машин и оборудования";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
21.05.04;Горное дело. Профиль "Открытые горные работы";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
23.03.03;Эксплуатация транспортно-технологических машин и комплексов. Профиль "Эксплуатация транспортно-технологических машин и комплексов";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.02;Информационные системы и технологии. Профиль "Разработка информационных систем";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.01;Педагогическое образование. Профиль "Начальное образование";22;4;2;4;2;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Дошкольное образование";15;5;1;3;1;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Психология и социальная педагогика";15;6;1;2;1;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Психология образования";20;6;2;5;2;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.03;Специальное (дефектологическое) образование. Профиль "Дошкольная дефектология";20;5;1;3;1;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
20.03.01;Техносферная безопасность. Профиль "Безопасность труда";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43.03.02;Туризм. Профиль "Проектирование и технология организации туристских и экскурсионных услуг";20;9;2;2;2;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43.03.03;Гостиничное дело. Профиль "Ресторанный сервис";20;10;2;1;2;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)";28;9;2;5;2;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.01;Информатика и вычислительная техника. Профиль "Системы обработки информации и управления";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.01;Теплоэнергетика и теплотехника. Профиль "Промышленная теплоэнергетика";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.02;Электроэнергетика и электротехника. Профиль "Электроснабжение";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
